Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Total Tackles
Dante Trader Jr.,Maryland,392,2022-23,1,[10],['11/12/2022'],['Penn St.'],[10.0]
Jaishawn Barham,Maryland,392,2022-23,1,[3],['09/17/2022'],['SMU'],[12.0]
Tyler Rudolph,Massachusetts,400,2022-23,1,[9],['11/04/2022'],['UConn'],[10.0]
Jalen Mackie,Massachusetts,400,2022-23,1,[12],['11/26/2022'],['Army West Point'],[21.0]
Quindell Johnson,Memphis,404,2022-23,1,[8],['10/22/2022'],['Tulane'],[13.0]
Jaylon Allen,Memphis,404,2022-23,1,[1],['09/03/2022'],['Mississippi St.'],[12.0]
Xavier Cullens,Memphis,404,2022-23,2,"[11, 12]","['11/19/2022', '11/26/2022']","['North Ala.', 'SMU']","[10.0, 12.0]"
Geoffrey Cantin-Arku,Memphis,404,2022-23,2,"[12, 13]","['11/26/2022', '12/27/2022']","['SMU', 'Utah St.']","[12.0, 10.0]"
Tyler Murray,Memphis,404,2022-23,1,[7],['10/15/2022'],['East Carolina'],[10.0]
Sylvonta Oliver,Memphis,404,2022-23,1,[7],['10/15/2022'],['East Carolina'],[10.0]
Matt Salopek,Miami (OH),414,2022-23,2,"[12, 13]","['11/22/2022', '12/16/2022']","['Ball St.', 'UAB']","[14.0, 15.0]"
Dominic Nardone,Miami (OH),414,2022-23,1,[5],['10/01/2022'],['Buffalo'],[10.0]
Michael Dowell,Miami (OH),414,2022-23,1,[7],['10/15/2022'],['Bowling Green'],[17.0]
Ryan McWood,Miami (OH),414,2022-23,4,"[3, 4, 6, 7]","['09/17/2022', '09/24/2022', '10/08/2022', '10/15/2022']","['Cincinnati', 'Northwestern', 'Kent St.', 'Bowling Green']","[13.0, 11.0, 11.0, 11.0]"
