Overall Rank,Season Rank,Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Receptions
1107.0,183.0,Jamaal Bell,Nevada,466,2023-24,3,"[1, 2, 3]","['09/02/2023', '09/09/2023', '09/16/2023']","['Southern California', 'Idaho', 'Kansas']","[8.0, 8.0, 5.0]"
1528.0,263.0,Trent Hudson,New Mexico St.,472,2023-24,2,"[13, 14]","['11/25/2023', '12/01/2023']","['Jacksonville St.', 'Liberty']","[5.0, 7.0]"
1107.0,183.0,Eli Stowers,New Mexico St.,472,2023-24,3,"[7, 8, 10]","['10/11/2023', '10/18/2023', '11/04/2023']","['Sam Houston', 'UTEP', 'Middle Tenn.']","[6.0, 5.0, 6.0]"
2185.0,380.0,Jonathan Brady,New Mexico St.,472,2023-24,1,[7],['10/11/2023'],['Sam Houston'],[5.0]
2185.0,380.0,Caleb Medford,New Mexico,473,2023-24,1,[11],['11/18/2023'],['Fresno St.'],[6.0]
1107.0,183.0,Jeremiah Hixon,New Mexico,473,2023-24,3,"[1, 3, 5]","['09/02/2023', '09/16/2023', '09/30/2023']","['Texas A&M', 'New Mexico St.', 'Wyoming']","[6.0, 5.0, 6.0]"
2185.0,380.0,DJ Washington,New Mexico,473,2023-24,1,[9],['11/04/2023'],['UNLV'],[5.0]
1528.0,263.0,Keyon Lesane,NC State,490,2023-24,2,"[7, 12]","['10/14/2023', '11/25/2023']","['Duke', 'North Carolina']","[6.0, 5.0]"
48.0,10.0,"Kevin ""KC"" Concepcion",NC State,490,2023-24,10,"[2, 3, 4, 6, 7, 8, 9, 11, 12, 13]","['09/09/2023', '09/16/2023', '09/22/2023', '10/07/2023', '10/14/2023', '10/28/2023', '11/04/2023', '11/18/2023', '11/25/2023', '12/28/2023']","['Notre Dame', 'VMI', 'Virginia', 'Marshall', 'Duke', 'Clemson', 'Miami (FL)', 'Virginia Tech', 'North Carolina', 'Kansas St.']","[5.0, 7.0, 6.0, 8.0, 6.0, 5.0, 5.0, 7.0, 7.0, 7.0]"
1107.0,183.0,Roderic Burns,North Texas,497,2023-24,3,"[3, 5, 8]","['09/16/2023', '10/07/2023', '10/28/2023']","['Louisiana Tech', 'Navy', 'Memphis']","[11.0, 5.0, 5.0]"
1528.0,263.0,Landon Sides,North Texas,497,2023-24,2,"[4, 12]","['09/30/2023', '11/25/2023']","['Abilene Christian', 'UAB']","[5.0, 6.0]"
2185.0,380.0,Blair Conwright,North Texas,497,2023-24,1,[9],['11/04/2023'],['UTSA'],[5.0]
1107.0,183.0,Damon Ward,North Texas,497,2023-24,3,"[7, 8, 12]","['10/21/2023', '10/28/2023', '11/25/2023']","['Tulane', 'Memphis', 'UAB']","[6.0, 8.0, 5.0]"
391.0,62.0,Ja'Mori Maclin,North Texas,497,2023-24,6,"[5, 6, 7, 8, 9, 12]","['10/07/2023', '10/14/2023', '10/21/2023', '10/28/2023', '11/04/2023', '11/25/2023']","['Navy', 'Temple', 'Tulane', 'Memphis', 'UTSA', 'UAB']","[6.0, 6.0, 8.0, 6.0, 5.0, 9.0]"
1528.0,263.0,Bugs Mortimer,ULM,498,2023-24,2,"[7, 8]","['10/21/2023', '10/28/2023']","['Ga. Southern', 'Arkansas St.']","[6.0, 5.0]"
