Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Total Tackles
Brian Bell,Akron,5,2018-19,3,"[2, 3, 8]","['09/15/2018', '09/22/2018', '11/01/2018']","['Northwestern', 'Iowa St.', 'NIU']","[11.0, 10.0, 14.0]"
Ulysees Gilbert,Akron,5,2018-19,3,"[3, 7, 9]","['09/22/2018', '10/27/2018', '11/10/2018']","['Iowa St.', 'Central Mich.', 'Eastern Mich.']","[12.0, 10.0, 10.0]"
Jamal Davis II,Akron,5,2018-19,2,"[8, 11]","['11/01/2018', '11/23/2018']","['NIU', 'Ohio']","[12.0, 11.0]"
Dylan Moses,Alabama,8,2018-19,1,[6],['10/06/2018'],['Arkansas'],[10.0]
Anfernee Jennings,Alabama,8,2018-19,1,[11],['11/17/2018'],['The Citadel'],[11.0]
Mack Wilson,Alabama,8,2018-19,1,[7],['10/13/2018'],['Missouri'],[11.0]
Savion Smith,Alabama,8,2018-19,1,[13],['12/01/2018'],['Georgia'],[11.0]
Quinnen Williams,Alabama,8,2018-19,1,[9],['11/03/2018'],['LSU'],[10.0]
Noel Cook,App State,27,2018-19,1,[6],['10/20/2018'],['Louisiana'],[13.0]
Akeem Davis-Gaither,App State,27,2018-19,4,"[5, 6, 11, 13]","['10/09/2018', '10/20/2018', '11/24/2018', '12/15/2018']","['Arkansas St.', 'Louisiana', 'Troy', 'Middle Tenn.']","[14.0, 15.0, 14.0, 10.0]"
Anthony Flory,App State,27,2018-19,3,"[1, 7, 12]","['09/01/2018', '10/25/2018', '12/01/2018']","['Penn St.', 'Ga. Southern', 'Louisiana']","[10.0, 10.0, 11.0]"
Jordan Fehr,App State,27,2018-19,2,"[5, 12]","['10/09/2018', '12/01/2018']","['Arkansas St.', 'Louisiana']","[15.0, 10.0]"
Demonte King,Arizona St.,28,2018-19,1,[12],['11/24/2018'],['Arizona'],[10.0]
Merlin Robertson,Arizona St.,28,2018-19,1,[4],['09/22/2018'],['Washington'],[11.0]
Darien Butler,Arizona St.,28,2018-19,1,[13],['12/15/2018'],['Fresno St.'],[10.0]
Jalen Harvey,Arizona St.,28,2018-19,4,"[2, 3, 6, 7]","['09/08/2018', '09/15/2018', '10/06/2018', '10/18/2018']","['Michigan St.', 'San Diego St.', 'Colorado', 'Stanford']","[10.0, 13.0, 14.0, 12.0]"
Colin Schooler,Arizona,29,2018-19,6,"[1, 4, 5, 8, 9, 11]","['09/01/2018', '09/22/2018', '09/29/2018', '10/20/2018', '10/27/2018', '11/17/2018']","['BYU', 'Oregon St.', 'Southern California', 'UCLA', 'Oregon', 'Washington St.']","[16.0, 10.0, 13.0, 10.0, 11.0, 13.0]"
Tony Fields II,Arizona,29,2018-19,4,"[1, 2, 4, 10]","['09/01/2018', '09/08/2018', '09/22/2018', '11/02/2018']","['BYU', 'Houston', 'Oregon St.', 'Colorado']","[11.0, 10.0, 10.0, 10.0]"
Jarrius Wallace,Arizona,29,2018-19,1,[7],['10/12/2018'],['Utah'],[11.0]
Isaiah Hayes,Arizona,29,2018-19,1,[1],['09/01/2018'],['BYU'],[13.0]
Justin Clifton,Arkansas St.,30,2018-19,1,[4],['09/22/2018'],['UNLV'],[12.0]
Darreon Jackson,Arkansas St.,30,2018-19,3,"[2, 3, 4]","['09/08/2018', '09/15/2018', '09/22/2018']","['Alabama', 'Tulsa', 'UNLV']","[10.0, 13.0, 10.0]"
Tahjea Chambers,Arkansas St.,30,2018-19,1,[6],['10/09/2018'],['App State'],[10.0]
Ronheen Bingham,Arkansas St.,30,2018-19,2,"[5, 8]","['09/29/2018', '10/27/2018']","['Ga. Southern', 'Louisiana']","[10.0, 13.0]"
Bumper Pool,Arkansas,31,2018-19,1,[9],['10/27/2018'],['Vanderbilt'],[10.0]
Santos Ramirez,Arkansas,31,2018-19,6,"[2, 5, 6, 8, 10, 11]","['09/08/2018', '09/29/2018', '10/06/2018', '10/20/2018', '11/10/2018', '11/17/2018']","['Colorado St.', 'Texas A&M', 'Alabama', 'Tulsa', 'LSU', 'Mississippi St.']","[10.0, 10.0, 12.0, 10.0, 10.0, 11.0]"
Dre Greenlaw,Arkansas,31,2018-19,4,"[1, 5, 6, 10]","['09/01/2018', '09/29/2018', '10/06/2018', '11/10/2018']","['Eastern Ill.', 'Texas A&M', 'Alabama', 'LSU']","[10.0, 13.0, 13.0, 12.0]"
De'Jon Harris,Arkansas,31,2018-19,7,"[2, 3, 5, 6, 7, 9, 10]","['09/08/2018', '09/15/2018', '09/29/2018', '10/06/2018', '10/13/2018', '10/27/2018', '11/10/2018']","['Colorado St.', 'North Texas', 'Texas A&M', 'Alabama', 'Ole Miss', 'Vanderbilt', 'LSU']","[11.0, 12.0, 16.0, 11.0, 13.0, 11.0, 12.0]"
Daniel Thomas,Auburn,37,2018-19,2,"[8, 9]","['10/20/2018', '11/03/2018']","['Ole Miss', 'Texas A&M']","[10.0, 12.0]"
