Overall Rank,Season Rank,Player,Team,Org ID,Season,Game Count,Game Numbers,Game Dates,Opponents,Pass Yards
443.0,76.0,Nicholas Vattiato,Middle Tenn.,419,2021-22,1,[10],['11/20/2021'],['Old Dominion'],[304.0]
4.0,2.0,Will Rogers,Mississippi St.,430,2021-22,11,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","['09/04/2021', '09/18/2021', '09/25/2021', '10/02/2021', '10/16/2021', '10/23/2021', '10/30/2021', '11/06/2021', '11/13/2021', '11/20/2021', '11/25/2021']","['Louisiana Tech', 'Memphis', 'LSU', 'Texas A&M', 'Alabama', 'Vanderbilt', 'Kentucky', 'Arkansas', 'Auburn', 'Tennessee St.', 'Ole Miss']","[370.0, 419.0, 371.0, 408.0, 300.0, 384.0, 344.0, 417.0, 415.0, 391.0, 336.0]"
113.0,21.0,Matt Corral,Ole Miss,433,2021-22,4,"[1, 3, 9, 11]","['09/06/2021', '09/18/2021', '11/06/2021', '11/20/2021']","['Louisville', 'Tulane', 'Liberty', 'Vanderbilt']","[381.0, 335.0, 324.0, 331.0]"
168.0,28.0,Connor Bazelak,Missouri,434,2021-22,3,"[3, 4, 5]","['09/18/2021', '09/25/2021', '10/02/2021']","['Southeast Mo. St.', 'Boston College', 'Tennessee']","[346.0, 303.0, 322.0]"
75.0,17.0,Sam Howell,North Carolina,457,2021-22,5,"[2, 3, 4, 5, 8]","['09/11/2021', '09/18/2021', '09/25/2021', '10/02/2021', '10/30/2021']","['Georgia St.', 'Virginia', 'Georgia Tech', 'Duke', 'Notre Dame']","[352.0, 307.0, 306.0, 321.0, 341.0]"
168.0,28.0,Chris Reynolds,Charlotte,458,2021-22,3,"[1, 4, 10]","['09/03/2021', '09/24/2021', '11/13/2021']","['Duke', 'Middle Tenn.', 'Louisiana Tech']","[324.0, 339.0, 448.0]"
443.0,76.0,Adrian Martinez,Nebraska,463,2021-22,1,[11],['11/20/2021'],['Wisconsin'],[351.0]
443.0,76.0,Cameron Friel,UNLV,465,2021-22,1,[5],['10/02/2021'],['UTSA'],[307.0]
443.0,76.0,Justin Rogers,UNLV,465,2021-22,1,[11],['11/19/2021'],['San Diego St.'],[305.0]
12.0,5.0,Carson Strong,Nevada,466,2021-22,9,"[1, 2, 5, 6, 7, 8, 9, 10, 11]","['09/04/2021', '09/11/2021', '10/09/2021', '10/16/2021', '10/23/2021', '10/29/2021', '11/06/2021', '11/13/2021', '11/19/2021']","['California', 'Idaho St.', 'New Mexico St.', 'Hawaii', 'Fresno St.', 'UNLV', 'San Jose St.', 'San Diego St.', 'Air Force']","[312.0, 381.0, 377.0, 395.0, 476.0, 417.0, 314.0, 350.0, 340.0]"
443.0,76.0,Dino Maldonado,New Mexico St.,472,2021-22,1,[4],['09/18/2021'],['South Carolina St.'],[321.0]
113.0,21.0,Jonah Johnson,New Mexico St.,472,2021-22,4,"[2, 6, 7, 12]","['09/04/2021', '10/02/2021', '10/09/2021', '11/27/2021']","['San Diego St.', 'San Jose St.', 'Nevada', 'Massachusetts']","[326.0, 300.0, 425.0, 420.0]"
443.0,76.0,Terry Wilson Jr.,New Mexico,473,2021-22,1,[2],['09/11/2021'],['New Mexico St.'],[381.0]
48.0,12.0,Devin Leary,NC State,490,2021-22,6,"[2, 7, 8, 9, 10, 11]","['09/11/2021', '10/23/2021', '10/30/2021', '11/06/2021', '11/13/2021', '11/20/2021']","['Mississippi St.', 'Miami (FL)', 'Louisville', 'Florida St.', 'Wake Forest', 'Syracuse']","[303.0, 310.0, 317.0, 314.0, 408.0, 303.0]"
443.0,76.0,Jace Ruder,North Texas,497,2021-22,1,[2],['09/11/2021'],['SMU'],[366.0]
